threshold,accuracy,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,false_positive_ratio,false_negative_ratio,strategy_name,split_name
0.55,0.97948,0.6670533642691415,0.717852684144819,0.6915213469633193,0.8579944105778352,0.7182941979569561,23912,287,226,575,0.3329466357308585,0.28214731585518105,baseline_centralized_model,bank_2_valid
0.6,0.98016,0.6804733727810651,0.717852684144819,0.6986634264884569,0.8579944105778352,0.7182941979569561,23929,270,226,575,0.31952662721893493,0.28214731585518105,baseline_centralized_model,bank_2_valid
0.65,0.9808,0.694074969770254,0.7166042446941323,0.7051597051597052,0.8579944105778352,0.7182941979569561,23946,253,227,574,0.3059250302297461,0.2833957553058677,baseline_centralized_model,bank_2_valid
0.7,0.98172,0.716624685138539,0.7103620474406991,0.7134796238244514,0.8579944105778352,0.7182941979569561,23974,225,232,569,0.28337531486146095,0.28963795255930086,baseline_centralized_model,bank_2_valid
0.75,0.98304,0.7509986684420772,0.704119850187266,0.7268041237113402,0.8579944105778352,0.7182941979569561,24012,187,237,564,0.24900133155792276,0.2958801498127341,baseline_centralized_model,bank_2_valid
0.8,0.98396,0.7785515320334262,0.6978776529338327,0.7360105332455563,0.8579944105778352,0.7182941979569561,24040,159,242,559,0.2214484679665738,0.3021223470661673,baseline_centralized_model,bank_2_valid
0.85,0.98504,0.8200899550224887,0.682896379525593,0.7452316076294278,0.8579944105778352,0.7182941979569561,24079,120,254,547,0.17991004497751126,0.317103620474407,baseline_centralized_model,bank_2_valid
0.9,0.98604,0.8951048951048951,0.6392009987515606,0.7458120903131829,0.8579944105778352,0.7182941979569561,24139,60,289,512,0.1048951048951049,0.36079900124843944,baseline_centralized_model,bank_2_valid
0.1,0.07101857962840744,0.04149548917194822,0.9896602658788775,0.07965127798692292,0.8772321388706443,0.6874649527706094,1541,46429,21,2010,0.9585045108280518,0.0103397341211226,baseline_centralized_model,central_valid
0.15,0.30305393892122157,0.05181502827019202,0.9340226489414082,0.09818332384452151,0.8772321388706443,0.6874649527706094,13256,34714,134,1897,0.948184971729808,0.06597735105859183,baseline_centralized_model,central_valid
0.2,0.626647467050659,0.08674052362263401,0.8596750369276218,0.1575812274368231,0.8772321388706443,0.6874649527706094,29587,18383,285,1746,0.913259476377366,0.14032496307237813,baseline_centralized_model,central_valid
0.25,0.7545449091018179,0.12367724867724868,0.8286558345642541,0.21523115288701325,0.8772321388706443,0.6874649527706094,36045,11925,348,1683,0.8763227513227513,0.17134416543574593,baseline_centralized_model,central_valid
0.3,0.8110237795244095,0.153623459096003,0.809945839487937,0.25826202998665515,0.8772321388706443,0.6874649527706094,38907,9063,386,1645,0.846376540903997,0.19005416051206303,baseline_centralized_model,central_valid
0.35,0.8502629947401052,0.1862203818725558,0.7971442639094042,0.3019114219114219,0.8772321388706443,0.6874649527706094,40895,7075,412,1619,0.8137796181274443,0.20285573609059576,baseline_centralized_model,central_valid
0.4,0.8810223795524089,0.22455005624296964,0.7863121614967996,0.34933829158919394,0.8772321388706443,0.6874649527706094,42455,5515,434,1597,0.7754499437570304,0.2136878385032004,baseline_centralized_model,central_valid
0.45,0.9051618967620647,0.2684093627199727,0.7735105859182668,0.39852866565195333,0.8772321388706443,0.6874649527706094,43688,4282,460,1571,0.7315906372800274,0.22648941408173315,baseline_centralized_model,central_valid
0.5,0.9245015099698006,0.3193120596767509,0.758739537173806,0.44946769724369257,0.8772321388706443,0.6874649527706094,44685,3285,490,1541,0.6806879403232491,0.24126046282619398,baseline_centralized_model,central_valid
0.55,0.9393612127757445,0.37490627343164207,0.7385524372230429,0.4973474801061008,0.8772321388706443,0.6874649527706094,45469,2501,531,1500,0.6250937265683579,0.2614475627769572,baseline_centralized_model,central_valid
0.6,0.9505609887802244,0.4341987466427932,0.7163958641063516,0.5406911928651059,0.8772321388706443,0.6874649527706094,46074,1896,576,1455,0.5658012533572068,0.28360413589364847,baseline_centralized_model,central_valid
0.65,0.9601007979840404,0.5064562410329986,0.6952240275726244,0.5860136957875077,0.8772321388706443,0.6874649527706094,46594,1376,619,1412,0.4935437589670014,0.3047759724273757,baseline_centralized_model,central_valid
0.7,0.9676206475870482,0.5894874022589053,0.6681437715411127,0.626355873528733,0.8772321388706443,0.6874649527706094,47025,945,674,1357,0.4105125977410947,0.33185622845888724,baseline_centralized_model,central_valid
0.75,0.9733805323893522,0.6883745963401507,0.6297390448055146,0.6577526356389818,0.8772321388706443,0.6874649527706094,47391,579,752,1279,0.3116254036598493,0.3702609551944855,baseline_centralized_model,central_valid
0.8,0.9764604707905842,0.7765544041450777,0.5903495814869523,0.6707692307692308,0.8772321388706443,0.6874649527706094,47625,345,832,1199,0.22344559585492227,0.4096504185130478,baseline_centralized_model,central_valid
0.85,0.9774004519909602,0.8566904196357878,0.5327424913835549,0.6569520340012144,0.8772321388706443,0.6874649527706094,47789,181,949,1082,0.14330958036421218,0.4672575086164451,baseline_centralized_model,central_valid
0.9,0.9771204575908482,0.925215723873442,0.4751354012801576,0.6278464541314248,0.8772321388706443,0.6874649527706094,47892,78,1066,965,0.07478427612655801,0.5248645987198425,baseline_centralized_model,central_valid
0.1,0.06119755209791608,0.04961321939168118,0.9959349593495935,0.0945179584120983,0.8625527860175326,0.4220382353371014,305,23466,5,1225,0.9503867806083188,0.0040650406504065045,federated_equal_weight_model,bank_1_valid
0.15,0.28226870925162995,0.06122020371731597,0.9479674796747968,0.11501282304202012,0.8625527860175326,0.4220382353371014,5891,17880,64,1166,0.938779796282684,0.05203252032520325,federated_equal_weight_model,bank_1_valid
0.2,0.5806967721291149,0.09569168924233155,0.8902439024390244,0.17280833267576737,0.8625527860175326,0.4220382353371014,13423,10348,135,1095,0.9043083107576685,0.10975609756097561,federated_equal_weight_model,bank_1_valid
0.25,0.7210511579536818,0.13414012738853504,0.8560975609756097,0.23193832599118944,0.8625527860175326,0.4220382353371014,16974,6797,177,1053,0.865859872611465,0.14390243902439023,federated_equal_weight_model,bank_1_valid
0.3,0.8140874365025399,0.18503501658680427,0.816260162601626,0.3016826923076923,0.8625527860175326,0.4220382353371014,19349,4422,226,1004,0.8149649834131957,0.183739837398374,federated_equal_weight_model,bank_1_valid
0.35,0.8716851325946963,0.24444444444444444,0.7691056910569106,0.37098039215686274,0.8625527860175326,0.4220382353371014,20847,2924,284,946,0.7555555555555555,0.23089430894308943,federated_equal_weight_model,bank_1_valid
0.4,0.9004039838406463,0.2912524850894632,0.7146341463414634,0.4138418079096045,0.8625527860175326,0.4220382353371014,21632,2139,351,879,0.7087475149105368,0.28536585365853656,federated_equal_weight_model,bank_1_valid
0.45,0.9175232990680373,0.3300653594771242,0.656910569105691,0.43936922240348014,0.8625527860175326,0.4220382353371014,22131,1640,422,808,0.6699346405228758,0.34308943089430893,federated_equal_weight_model,bank_1_valid
0.5,0.9234430622775089,0.33414161008729387,0.5601626016260163,0.41859052247873635,0.8625527860175326,0.4220382353371014,22398,1373,541,689,0.6658583899127061,0.4398373983739837,federated_equal_weight_model,bank_1_valid
0.55,0.9285228590856366,0.3383633197910621,0.4739837398373984,0.3948526921774467,0.8625527860175326,0.4220382353371014,22631,1140,647,583,0.6616366802089378,0.5260162601626016,federated_equal_weight_model,bank_1_valid
0.6,0.9353225870965162,0.3651567944250871,0.42601626016260163,0.3932457786116323,0.8625527860175326,0.4220382353371014,22860,911,706,524,0.6348432055749129,0.5739837398373984,federated_equal_weight_model,bank_1_valid
0.65,0.9416023359065637,0.3946886446886447,0.35040650406504065,0.37123169681309215,0.8625527860175326,0.4220382353371014,23110,661,799,431,0.6053113553113553,0.6495934959349593,federated_equal_weight_model,bank_1_valid
